Country,City,Description
Poland,Warsaw,"Warsaw, officially the Capital City of Warsaw, is the capital and largest city of Poland. The metropolis stands on the River Vistula in east-central Poland. Its population is officially estimated at 1.86 million residents within a greater metropolitan area of 3.27 million residents, which makes Warsaw the 7th most-populous city in the European Union. The city area measures 517 km2 (200 sq mi) and comprises 18 districts, while the metropolitan area covers 6,100 km2 (2,355 sq mi). Warsaw is classified as an alpha global city, a major cultural, political and economic hub, and the country's seat of government. It is also the capital of the Masovian Voivodeship."
Poland,Kraków,"Kraków, also spelled as Cracow or Krakow, is the second-largest and one of the oldest cities in Poland. Situated on the Vistula River in Lesser Poland Voivodeship, the city has a population of 804,237 (2023), with approximately 8 million additional people living within a 100 km (62 mi) radius. Kraków was the official capital of Poland until 1596, and has traditionally been one of the leading centres of Polish academic, cultural, and artistic life. Cited as one of Europe's most beautiful cities, its Old Town was declared a UNESCO World Heritage Site in 1978, one of the world's first sites granted the status."
Poland,Łódź,"Łódź is a city in central Poland and a former industrial centre. It is the capital of Łódź Voivodeship, and is located 120 km (75 mi) south-west of Warsaw. As of 2023, Łódź has a population of 655,279, making it the country's fourth largest city."
Poland,Wrocław,"Wrocław is a city in southwestern Poland and the largest city and historical capital of the region of Silesia. It lies on the banks of the Oder River in the Silesian Lowlands of Central Europe, roughly 40 kilometres (25 mi) from the Sudeten Mountains to the south. As of 2023, the official population of Wrocław is 674,132 making it the third largest city in Poland. The population of the Wrocław metropolitan area is around 1.25 million."
Poland,Poznań,"Poznań is a city on the River Warta in west Poland, within the Greater Poland region. The city is an important cultural and business centre, and one of Poland's most populous regions with many regional customs such as Saint John's Fair, traditional Saint Martin's croissants and a local dialect. Among its most important heritage sites are the Renaissance Old Town, Town Hall and Gothic Cathedral."
Poland,Gdańsk,"Gdańsk is a city on the Baltic coast of northern Poland, and the capital of the Pomeranian Voivodeship. With a population of 486,492, it is Poland's sixth-largest city and principal seaport. Gdańsk lies at the mouth of the Motława River and is situated at the southern edge of Gdańsk Bay, close to the city of Gdynia and the resort town of Sopot; these form a metropolitan area called the Tricity (Trójmiasto), with a population of approximately 1.5 million."
Poland,Szczecin,"Szczecin is the capital and largest city of the West Pomeranian Voivodeship in northwestern Poland. Located near the Baltic Sea and the German border, it is a major seaport and Poland's seventh-largest city. As of 31 December 2022, the population was 391,566."
Poland,Bydgoszcz,"Bydgoszcz is a city in northern Poland and the largest city in the historical region of Kuyavia. Straddling the confluence of the Vistula River and its left-bank tributary, the Brda, the strategic location of Bydgoszcz has made it an inland port and a vital centre for trade and transportation. With a city population of 339,053 as of December 2021, Bydgoszcz is the eighth-largest city in Poland. Today, it is the seat of Bydgoszcz County and one of the two capitals of the Kuyavian-Pomeranian Voivodeship as a seat of its centrally appointed governor, a voivode."
Poland,Lublin,"Lublin is the ninth-largest city in Poland and the second-largest city of historical Lesser Poland. It is the capital and the centre of Lublin Voivodeship with a population of 336,339. Lublin is the largest Polish city east of the Vistula River, located 153 km (95 mi) southeast of Warsaw."
Poland,Katowice,"Katowice is the capital city of the Silesian Voivodeship in southern Poland and the central city of the Katowice urban area. As of 2021, Katowice has an official population of 286,960, and a resident population estimate of around 315,000. Katowice is a central part of the Metropolis GZM, with a population of 2.3 million, and a part of a larger Katowice-Ostrava metropolitan area that extends into the Czech Republic and has a population of around 5 million people, making it one of the most populous metropolitan areas in the European Union."
